id	id2	location	year	month	project	Station	Depth	type	id3
Sample01	T2	RF	2018	Oct	RF_PN	Hyas_St1	water	30m	Ram_1.30_Oct18
Sample02	T3	RF	2018	Oct	RF_PN	Hyas_St3	water	30m	Ram_3.30_Oct28
Sample03	T4	RF	2018	Nov	RF_PN	Hyas_St1	water	30m	Ram_1.30_Nov18
Sample04	T5	RF	2018	Dec	RF_PN	Hyas_St3	water	30m	Ram_1.30_Dec18
Sample05	T6	RF	2019	Jan	RF_PN	Hyas_St1	water	30m	Ram_1.30_Jan19
Sample06	T7	RF	2019	Feb	RF_PN	Hyas_St1	water	30m	Ram_1.30_Feb19
Sample07	T8	RF	2019	Mar	RF_PN	Hyas_St1	water	30m	Ram_1.30_Mar19
Sample08	T9	RF	2019	Apr	RF_PN	Hyas_St1	water	30m	Ram_1.30_Apr19
Sample09	T11	BF	2018	Jul	BF	St2	SedTrap	10m	BF_2.10_Jul18_ST
Sample10	T12	BF	2018	Jul	BF	St2	SedTrap	20m	BF_2.20_Jul18_ST
Sample11	T14	BF	2018	Apr	BF	St1	SedTrap	20m	BF_1.10_Apr18_ST
Sample12	T15	BF	2018	Apr	BF	St1	SedTrap	50m	BF_1.20_Apr18_ST
Sample13	T16	BF	2018	Jul	BF	St1	water	surface	BF_1S_Jul18_water
Sample14	T17	BF	2018	Jul	BF	St2	water	surface	BF_2S_Jul18_water
Sample15	T18	BF	2018	Jul	BF	T5	water	surface	BF_T5_Jul18_water
Sample16	T20	BF	2018	Jul	BF	St1	SedTrap	20m	BF_1.20_Jul18_ST
Sample17	T21	BF	2018	Jul	BF	St1	SedTrap	50m	BF_1.50_Jul18_ST
Sample18	T22	BF	2019	Apr	BF	St1	water	Surface	BF_1S_Apr19_water
Sample19	T23	BF	2019	Apr	BF	St1	Ice	0-3cm	BF_1_Apr19_Ice
Sample20	T24	BF	2019	Apr	BF	St2	Ice	0-3cm	BF_2_Apr19_Ice
Sample21	T26	BF	2018	Apr	BF	St2	SedTrap	20m	BF_2.20_Apr18_ST
Sample22	T27	RF	2019	Mar	RF_ice	St1	Ice	0-3cm	Ram_1_Ice_Mar19
Sample23	T28	RF	2019	Mar	RF_ice	St1	UIW	0m	Ram_1_UIW_Mar19
Sample24	T29	RF	2019	Mar	RF_ice	St1	water	1m	Ram_1_1mWater_Mar19
Sample25	T30	RF	2019	Apr	RF_ice	ICE3	Ice	0-3cm	Ram_ICE3_Ice_Apr19
Sample26	T31	RF	2019	Apr	RF_ice	ICE3	water	1m	Ram_ICE3_1mWater_Apr19
Sample27	T32	BF	2019	Apr	BF	St1	Aggregate	surface	BF_1_Apr19_Aggregate
Sample28	T33	BF	2019	Apr	BF	St1	UIW	0m	BF_1_Apr19_UIW
Sample29	T34	BF	2019	Apr	BF	St2	UIW	0m	BF_2_Apr19_UIW
Sample30	T35	BF	2019	Apr	BF	T5/SG	Ice	0-3cm	BF_T5_Apr19_Ice
Sample31	T36	BF	2019	Apr	BF	T5/SG	UIW	0m	BF_T5_Apr19_UIW
Sample32	T37	BF	2018	Apr	BF	St1	Ice	0-3cm	BF_1.0to3_Apr18_Ice
Sample33	T38	BF	2018	Apr	BF	St1	Ice	3-10cm	BF_1.3to10_Apr18_Ice
Sample34	T39	BF	2018	Apr	BF	St2	Ice	0-3cm	BF_2.0to3_Apr18_Ice
Sample35	T40	BF	2018	Apr	BF	St2	Ice	3-10cm	BF_2.3to10_Apr18_Ice
