Month	Month2	station	Depth	spread	Silicate	NOx	Phosphate	Nitrite	NO3	NH4	Chl	Phaeo	POC	POC	PN	PN	C:N_ratio_	d13C	d15N	bacteria
Sep	1	st1	5	median	NA	0.206	0.053	0.173	0.033	0.174	NA	NA	0.666628547	5.55061E-05	0.057137356	4.07833E-06	13.61002412	-28.122	4.864	NA
Sep	1	st1	5	min_	NA	NA	NA	NA	NA	NA	0.001878308	0.002683458	NA	NA	NA	NA	NA	NA	NA	NA
Sep	1	st1	5	max	NA	NA	NA	NA	NA	NA	0.053232031	0.140347805	NA	NA	NA	NA	NA	NA	NA	NA
Sep	1	st1	30	median	NA	1.344	0.196	1.208	0.136	1.175	0.01762409	NA	NA	NA	NA	NA	NA	NA	NA	5.47E+05
Sep	1	st1	30	min_	NA	NA	NA	NA	NA	NA	NA	NA	0.562518298	4.68375E-05	0.0282287	2.0149E-06	23.24560755	-31.397	6.269	NA
Sep	1	st1	30	max	NA	NA	NA	NA	NA	NA	NA	NA	0.536081233	4.46362E-05	0.02982726	2.129E-06	20.96584481	-30.130	5.969	NA
Sep	1	st1	45	median	NA	4.285	0.594	4.277	0.008	0.925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sep	1	st1	45	min_	NA	NA	NA	NA	NA	NA	0.05010716	0.020678452	0.586452203	4.88303E-05	0.03160661	2.256E-06	21.64461332	-29.997	8.436	NA
Sep	1	st1	45	max	NA	NA	NA	NA	NA	NA	0.063820537	0.068095329	0.626876975	5.21963E-05	0.032343361	2.30859E-06	22.60956947	-29.831	7.767	2.91E+05
Sep	1	st2	5	median	NA	0.359	0.044	0.294	0.065	0.467	0.047515631	0.278126507	NA	NA	NA	NA	NA	NA	NA	NA
Sep	1	st2	5	min_	NA	NA	NA	NA	NA	NA	NA	NA	0.588507794	4.90015E-05	0.039063839	2.78828E-06	17.574073	-29.173	4.051	NA
Sep	1	st2	5	max	NA	NA	NA	NA	NA	NA	NA	NA	0.564042804	4.69644E-05	0.041487506	2.96128E-06	15.85951344	-29.481	3.702	NA
Sep	1	st2	30	median	NA	1.323	0.215	1.217	0.106	0.628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sep	1	st2	30	min_	NA	NA	NA	NA	NA	NA	0.000450093	0.060839814	0.502774665	4.1863E-05	0.027625162	1.97182E-06	21.2306689	-30.886	5.335	NA
Sep	1	st2	30	max	NA	NA	NA	NA	NA	NA	0.02753421	0.067702707	0.514497761	4.28391E-05	0.027419905	1.95717E-06	21.88833233	-30.827	5.195	NA
Sep	1	st2	75	median	NA	1.534	0.186	1.495	0.039	0.045	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.52E+05
Sep	1	st2	75	min_	NA	NA	NA	NA	NA	NA	0.00073428	0.032901328	0.492307071	4.09914E-05	0.026396337	1.88411E-06	21.75642519	-30.829	7.119	NA
Sep	1	st2	75	max	NA	NA	NA	NA	NA	NA	0.00451274	0.034875558	0.541182605	4.5061E-05	0.02778964	1.98356E-06	22.71726469	-30.574	7.168	NA
Sep	1	st3	5	median	NA	0.435	0.253	0.33	0.105	0.221	0.175369452	0.236785311	NA	NA	NA	NA	NA	NA	NA	NA
Sep	1	st3	5	min_	NA	NA	NA	NA	NA	NA	NA	NA	0.560481164	4.66679E-05	0.04853558	3.46435E-06	13.47087875	-28.639	4.175	NA
Sep	1	st3	5	max	NA	NA	NA	NA	NA	NA	NA	NA	0.621049341	5.1711E-05	0.048467614	3.4595E-06	14.94753551	-28.484	4.307	NA
Sep	1	st3	30	median	NA	2.081	0.186	1.912	0.169	0.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sep	1	st3	30	min_	NA	NA	NA	NA	NA	NA	0.012572104	NA	0.472252718	3.93216E-05	0.025206932	1.79921E-06	21.85493925	-30.338	3.969	NA
Sep	1	st3	30	max	NA	NA	NA	NA	NA	NA	0.067621433	0.056798026	0.525573957	4.37614E-05	0.026961814	1.92447E-06	22.73944479	-30.219	6.074	NA
Sep	1	st3	100	median	NA	3.585	0.490	3.56	0.025	0.545	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.80E+05
Sep	1	st3	100	min_	NA	NA	NA	NA	NA	NA	0.001785612	0.012715992	0.484458452	4.03379E-05	0.026522754	1.89313E-06	21.30752724	-30.569	6.901	NA
Sep	1	st3	100	max	NA	NA	NA	NA	NA	NA	0.011355259	0.021048085	0.519707564	4.32729E-05	0.02679054	1.91224E-06	22.62938249	-30.906	7.743	NA
Oct	2	st1	5	median	NA	0.162	0.091	0.107	0.055	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st1	5	min_	NA	NA	NA	NA	NA	NA	0.003861512	0.219804375	0.669457926	5.57417E-05	0.061068509	4.35892E-06	12.78795494	-27.961	4.413	NA
Oct	2	st1	5	max	NA	NA	NA	NA	NA	NA	0.004403317	0.413653912	0.664947623	5.53662E-05	0.066526179	4.74848E-06	11.65977014	-28.109	5.386	NA
Oct	2	st1	30	median	NA	3.356	0.243	3.216	0.14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st1	30	min_	NA	NA	NA	NA	NA	NA	0.000531964	0.019140847	0.506214953	4.21495E-05	0.029420824	2.09999E-06	20.07128927	-30.270	7.665	5.18E+05
Oct	2	st1	30	max	NA	NA	NA	NA	NA	NA	0.003611963	0.030818842	0.528576827	4.40114E-05	0.034081932	2.43269E-06	18.09168625	-30.062	7.413	NA
Oct	2	st1	47	median	NA	10.843	0.092	10.795	0.048	0.189	0.018934615	0.016712986	NA	NA	NA	NA	NA	NA	NA	NA
Oct	2	st1	47	min	NA	NA	NA	NA	NA	NA	NA	NA	0.570266791	4.74827E-05	0.038711775	2.76315E-06	17.18423185	-29.435	9.032	NA
Oct	2	st1	47	max	NA	NA	NA	NA	NA	NA	NA	NA	0.594208079	4.94761E-05	0.040147217	2.86561E-06	17.26546326	-29.353	8.964	NA
Oct	2	st2	5	median	NA	0.369	0.091	0.29	0.079	0.364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
