month	day	Date	Temp_RF	mintemp	maxtemp	Temp_Tr	normtemp	prec	snow	wind	maxwind	PAR
Sep	1	21.9.	8.80	8.4	11.9	9.4	5.9	9.1	0	6.3	9.1	NA
Sep	2	22.9.	9.70	5.6	15	10.1	5.8	3.1	0	4.1	7.9	NA
Sep	3	23.9.	6.40	5.9	10.6	6.9	5.6	9.3	0	4.8	6.6	NA
Sep	4	24.9.	3.50	1.1	6	3.3	5.5	13.9	0	3.8	5.2	NA
Sep	5	25.9.	3.40	0.8	5.4	3.6	5.4	13.1	0	6.1	8.8	NA
Sep	6	26.9.	NA	3.3	5.7	4.6	5.2	16.1	0	3.6	6.5	NA
Sep	7	27.9.	NA	0.6	4.8	1.9	5.1	5	0	1.8	5.9	NA
Sep	8	28.9.	NA	-1.2	3.5	1.2	5	1.2	0	2.9	5	NA
Sep	9	29.9.	NA	0.2	5.4	3.7	4.9	3	0	5.1	7.9	NA
Sep	10	30.9.	NA	3	6.1	4.6	4.7	0.3	0	1.8	4	NA
Oct	11	1.10.	NA	3.6	6.9	5.2	4.6	0.2	0	3.3	6.3	NA
Oct	12	2.10.	NA	3.7	5.1	4.1	4.5	0	0	3.7	4.5	NA
Oct	13	3.10.	NA	0.8	4	2.1	4.4	0.1	0	1.7	3.1	NA
Oct	14	4.10.	NA	0.6	3.4	1.7	4.2	8.4	0	3.4	5.3	NA
Oct	15	5.10.	NA	-2.6	3.7	-0.4	4.1	0.4	0	1.3	2.3	NA
Oct	16	6.10.	NA	-2.7	3.1	0.5	4	0	0	3.3	5.3	NA
Oct	17	7.10.	NA	0.5	3.3	2.2	3.9	8	2	4.3	5.7	NA
Oct	18	8.10.	NA	2.6	4.9	4.2	3.8	2.6	0	5.3	8.9	NA
Oct	19	9.10.	5.40	3.5	6.2	5.2	3.6	2.2	0	6.3	9.6	NA
Oct	20	10.10.	3.80	2.3	5.6	4	3.5	6.2	0	2.8	6.6	71.9177881
Oct	21	11.10.	NA	3.3	7.3	6.2	3.4	1	0	3.8	5.8	35.47564103
Oct	22	12.10.	5.50	3.8	9.6	6.7	3.2	0	0	1.4	3.6	NA
Oct	23	13.10.	7.10	4.8	12.9	9.2	3.1	0.2	0	5.2	8.4	NA
Oct	24	14.10.	10.10	8.7	14.1	10.5	3	1.3	0	3.7	8.1	NA
Oct	25	15.10.	6.80	5.3	13.5	6.9	2.9	11.7	0	4.7	7	NA
Oct	26	16.10.	6.40	5.3	8.1	6.5	2.7	2.5	0	5	7.1	NA
Oct	27	17.10.	NA	5.2	9.3	7.6	2.6	7	0	NA	8.7	NA
Oct	28	18.10.	NA	5.7	9.2	7.1	2.5	0.7	0	7.3	10	NA
Oct	29	19.10.	5.70	4.7	7.5	5.9	2.3	9.7	0	2.8	5.1	NA
Oct	30	20.10.	5.80	5	7.8	6.7	2.2	1.2	0	5.1	7.2	NA
Oct	31	21.10.	5.90	3.7	8	6.3	2.1	3.1	0	8.1	9.5	NA
Oct	32	22.10.	NA	2.3	6.8	3.6	1.9	8	0	6.3	9.3	NA
Oct	33	23.10.	1.30	0.5	4.6	2.4	1.8	6.7	0	3.6	6.3	NA
Oct	34	24.10.	-2.80	-2.4	2.9	-0.8	1.6	0	0	1	2	NA
Oct	35	25.10.	-3.00	-2.9	2.7	-1.3	1.5	0	0	1.1	1.7	NA
Oct	36	26.10.	-4.20	-3.2	0.1	-1.5	1.4	0	0	1.3	2.3	NA
Oct	37	27.10.	-2.30	-2.8	0.5	-1	1.2	0.3	0	2.1	3.6	NA
Oct	38	28.10.	-3.00	-3.5	-0.1	-0.9	1.1	3.4	4	4.7	8.2	NA
Oct	39	29.10.	0.80	-0.3	4.5	2.5	1	0	3	5.1	8.2	NA
Oct	40	30.10.	-2.80	-3.6	2.1	-0.6	0.8	0	2	3.6	7.8	NA
Oct	41	31.10.	-0.80	-2.2	1.2	-0.2	0.7	0	0	2	4.8	NA
Nov	42	1.11.	2.60	0	5.9	3.8	0.6	5.5	3	2.6	4.6	NA
Nov	43	2.11.	2.50	1.7	7.4	5.1	0.4	3.1	0	1.9	5.1	NA
Nov	44	3.11.	2.80	3.2	7.1	4.3	0.3	0.8	0	3.9	6.2	NA
Nov	45	4.11.	5.10	3.8	9.5	6.7	0.2	3.9	0	6.4	8.4	NA
Nov	46	5.11.	8.70	8	10.1	8.8	0	2.6	0	6.6	8.8	NA
Nov	47	6.11.	6.30	4.9	9.2	6.2	-0.1	8.1	0	3	6.5	NA
Nov	48	7.11.	1.50	0.2	4.9	1.7	-0.2	1.7	0	1.4	3	NA
Nov	49	8.11.	-1.90	-0.7	1.8	0.2	-0.3	0	0	1.3	2.8	NA
Nov	50	9.11.	0.20	-1.4	4.2	2.8	-0.5	0	0	2.6	5.2	NA
Nov	51	10.11.	2.40	2.7	7.2	5.4	-0.6	0	0	3.6	7.5	NA
Nov	52	11.11.	2.80	3.8	6.4	5.2	-0.7	0	0	2.6	6.1	NA
Nov	53	12.11.	4.20	4.6	7.1	5.2	-0.8	0.3	0	2	4.8	NA
Nov	54	13.11.	3.50	4	5.2	4.6	-0.9	3.8	0	4.3	5.4	NA
Nov	55	14.11.	5.60	5.1	8.4	6.9	-1	0.9	0	4.9	6.5	NA
Nov	56	15.11.	7.30	5.9	8.2	7.5	-1.1	1.4	0	6.6	8.3	2.51698584
Nov	57	16.11.	8.10	6.5	10.9	8.4	-1.3	1.6	0	6.6	8.8	1.27906098
Nov	58	17.11.	3.90	2.1	7.6	4.1	-1.4	6.7	0	3.6	9.1	2.01025076
Nov	59	18.11.	0.90	0.9	4	3.3	-1.4	1.2	0	4.9	6.4	3.42498081
Nov	60	19.11.	5.60	3.1	7.9	6.2	-1.5	0	0	7	10.2	3.0798256
Nov	61	20.11.	2.00	1.1	7	1.9	-1.6	2.8	0	1.9	4.1	1.9790635
Nov	62	21.11.	3.10	0.9	4.1	3.1	-1.7	2.3	0	4.3	6.3	1.2386431
Nov	63	22.11.	4.60	3.3	5	4	-1.8	2.6	0	4	7.2	1.35427914
Nov	64	23.11.	1.60	-0.6	3.8	1.7	-1.9	3.4	0	7	11.6	0.52852632
Nov	65	24.11.	0.70	-1	3.1	0.7	-2	18	4	2.9	6	0.71126365
Nov	66	25.11.	-1.20	-1.8	1.3	-1.2	-2.1	16.6	21	2.5	6.3	0.09061867
Nov	67	26.11.	-4.90	-5.3	-1.5	-3.6	-2.1	10.7	28	2	3.8	0.07758379
Nov	68	27.11.	-2.60	-5.4	0.8	-1.3	-2.2	3.6	30	6	9.3	0.0541729
Nov	69	28.11.	0.30	-0.6	1	-0.1	-2.3	7.3	32	2.5	4.4	0.53173003
Nov	70	29.11.	-1.50	-0.8	0.5	-0.1	-2.3	4	33	2.7	6	0.54193619
Nov	71	30.11.	1.00	-1.1	4.8	3.2	-2.4	2.6	33	3.2	6.3	0.3699972
Dec	72	1.12.	0.90	2.6	4.9	4	-2.5	0.6	25	3.1	7.9	0.55649786
Dec	73	2.12.	1.20	2.6	5.6	4	-2.5	0.1	23	5.8	9.3	0.61006045
Dec	74	3.12.	1.60	1.3	4.7	3.9	-2.6	0	21	5.9	9.9	0.49847347
Dec	75	4.12.	0.40	0.9	4.7	2.2	-2.7	0	18	5.6	6.9	0.34375264
Dec	76	5.12.	0.30	-0.2	2.4	1.4	-2.7	0.7	20	4.3	6.7	0.24743246
Dec	77	6.12.	0.20	-0.4	1.3	0	-2.8	4.2	24	2.5	4.4	0.11760279
Dec	78	7.12.	-3.40	-3.4	-0.1	-2.4	-2.9	15.1	40	4	6	0.02995063
Dec	79	8.12.	-10.10	-8	-2.9	-5.7	-2.9	2.3	35	3	6.7	0.03946252
Dec	80	9.12.	-6.30	-8.8	-0.9	-3.1	-3	0	35	2	3.8	0.0207404
Dec	81	10.12.	-6.40	-4.2	0.5	-1.8	-3	0.5	35	1.9	4	0.03200435
Dec	82	11.12.	-5.60	-3.4	0.2	-1.9	-3.1	0.2	33	3.5	5.9	0.03851476
Dec	83	12.12.	1.00	-1.2	3.1	2	-3.1	1.1	32	6.4	8	0.03426274
Dec	84	13.12.	4.10	2.9	4.4	3.9	-3.2	0	29	6.2	8	0.05776342
Dec	85	14.12.	4.00	3.5	4.5	3.9	-3.2	0.6	21	5.4	7.1	0.12721337
Dec	86	15.12.	0.60	0.7	4	2.3	-3.3	0	18	5.5	8.2	0.24014892
Dec	87	16.12.	-8.10	-4.7	1	-3.7	-3.3	0	17	3.8	5.6	0.27698437
Dec	88	17.12.	-8.60	-7	-4.3	-5.7	-3.4	0	17	2.7	5.5	0.12476094
Dec	89	18.12.	-7.50	-7.2	-3.8	-5.1	-3.4	0	17	1.4	5	0.24131889
Dec	90	19.12.	-7.10	-4.5	-1	-2.5	-3.5	0	15	3.2	6.4	0.29841091
Dec	91	20.12.	-7.20	-5.2	-1.7	-3.1	-3.5	0	15	1.9	4.2	0.17348276
Dec	92	21.12.	-4.20	-4.7	0.6	-0.6	-3.6	0	15	4.4	5.7	0.15356224
Dec	93	22.12.	-4.40	-3.3	-0.5	-2.4	-3.6	0	15	6.4	7.3	0.11406073
Dec	94	23.12.	-0.90	-3.4	-0.1	-1.2	-3.7	2.4	17	4.4	8	0.08077442
Dec	95	24.12.	-2.40	-3.5	0.5	-1.5	-3.7	7	30	3	5.7	0.07020858
Dec	96	25.12.	-1.20	-2.1	0.9	0	-3.8	5.8	32	5	8.4	0.07295024
Dec	97	26.12.	-2.10	-3.4	0.7	-1.3	-3.8	12.8	47	2.7	5.3	0.10819804
Dec	98	27.12.	-3.30	-4.7	-1.6	-2.6	-3.8	4.2	48	1.4	3.6	0.1513347
Dec	99	28.12.	0.70	-2.3	2.7	1.2	-3.9	2.5	48	5	7.7	0.08982162
Dec	100	29.12.	0.50	-2.6	3.5	0.5	-3.9	9.6	37	5.8	8	0.0714852
Dec	101	30.12.	-2.90	-4.4	-1.6	-2.6	-4	14.4	47	3.6	8.6	0.06845936
Dec	102	31.12.	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.11677306
Jan	103	1.1.	-4.00	-6.2	-0.8	-3.3	-4	0.4	47	4.5	8.2	0.11449601
Jan	104	2.1.	-4.90	-6.3	-3	-4	-4.1	12.1	58	2.9	6.5	0.08436475
Jan	105	3.1.	-0.70	-4.3	2.9	-0.2	-4.1	6.4	59	6.1	10.6	0.03141737
Jan	106	4.1.	-0.10	-0.2	2.3	0.5	-4.2	13.2	63	2.5	3.9	0.21743695
Jan	107	5.1.	1.50	0.4	2.4	1.9	-4.2	0.6	60	5.3	6.9	0.25761944
