id	Kingdom	Phylum	Class	Order	Family	Genus	Species
TOB5_000000002	Metazoa	Arthropoda	Maxillopoda	Cyclopoida	Oithonidae	Oithona	Oithona_unclass
TOB5_000000004	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000000005	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya_unclass
TOB5_000000006	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium helveticum
TOB5_000000008	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium veneficum
TOB5_000000009	Alveolata	Dinoflagellata	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum	Prorocentrum minimum
TOB5_000000010	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowiaceae_unclass	Warnowiaceae_unclass
TOB5_000000011	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya_unclass
TOB5_000000013	Metazoa	Arthropoda	Maxillopoda	Calanoida	Calanoida_unclass	Calanoida_unclass	Calanoida_unclass
TOB5_000000015	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros socialis
TOB5_000000016	Alveolata	Dinoflagellata	Dinophyceae	Gonyaulacales	Ceratiaceae	Neoceratium	Neoceratium_unclass
TOB5_000000017	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000018	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000000019	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_unclass
TOB5_000000020	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia cuspidata
TOB5_000000021	Opisthokonta	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass
TOB5_000000022	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp. ex Prorocentrum micans
TOB5_000000023	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000024	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya_unclass
TOB5_000000027	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000033	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium veneficum
TOB5_000000034	Hacrobia	Haptophyta	Picomonadea	Picomonadida	Picomonadidae	Picomonas	Picomonas judraskeda
TOB5_000000035	Opisthokonta	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass
TOB5_000000036	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Eudubosquellidae	Euduboscquella	Euduboscquella sp. ex Favella arcuata
TOB5_000000037	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000038	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000040	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema_unclass
TOB5_000000041	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium veneficum
TOB5_000000042	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	uncultured Gyrodinium
TOB5_000000043	Alveolata	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass
TOB5_000000044	Hacrobia	Haptophyta	Picomonadea	Picomonadida	Picomonadidae	Picomonas	Picomonas judraskeda
TOB5_000000046	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000047	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000048	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia_unclass
TOB5_000000049	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000050	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000000051	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000052	Alveolata	Ciliophora	Oligotrichea	Strombidiida	Strombidiidae	Strombidiidae_unclass	Strombidiidae_unclass
TOB5_000000053	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000054	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000055	Hacrobia	Haptophyta	Picomonadea	Picomonadida	Picomonadidae	Picomonas	Picomonas judraskeda
TOB5_000000056	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000058	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000059	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000000060	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Margalefidinium	Margalefidinium fulvescens
TOB5_000000062	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000063	Opisthokonta	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass	Opisthokonta_unclass
TOB5_000000064	Alveolata	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass	Alveolata_unclass
TOB5_000000065	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000066	Stramenopiles	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass
TOB5_000000067	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira oceanica
TOB5_000000068	Stramenopiles	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca_unclass
TOB5_000000069	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000070	Hacrobia	Haptophyta	Picomonadea	Picomonadida	Picomonadidae	Picomonas	Picomonas judraskeda
TOB5_000000072	Alveolata	Dinoflagellata	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium veneficum
TOB5_000000073	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000075	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya_unclass
TOB5_000000076	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
TOB5_000000077	Alveolata	Dinoflagellata	Dinophyceae	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass	Dinophyceae_unclass
TOB5_000000078	Stramenopiles	Bacillariophyta	Coscinodiscophyceae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris
TOB5_000000079	Alveolata	Dinoflagellata	Dinophyceae	Syndiniales	Eudubosquellidae	Euduboscquella	Euduboscquella sp. ex Favella arcuata
TOB5_000000083	Rhizaria	Radiozoa	Polycystina	Nassellaria	Nassellaria_unclass	Nassellaria_unclass	Nassellaria_unclass
TOB5_000000085	Hacrobia	Haptophyta	Prymnesiophyceae	Prymnesiales	Prymnesiaceae	Imantonia	Imantonia_unclass
TOB5_000000087	Stramenopiles	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass	Stramenopiles_unclass
TOB5_000000088	Stramenopiles	Oomycota	Oomycetes	Saprolegniales	Thraustochytriaceae	Thraustochytriaceae_unclass	Thraustochytriaceae_unclass
TOB5_000000089	Eukaryota	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass	Eukaryota_unclass
